scaf_smi,frag_size
**1:*:*:*:*:*:1*:*:*:*:*,12
*1****2:*(:*:*3:*:*:*:*:*:2:3)**1,15
*=*1:*:*:*:*2:*:*3:*(:*:*:1:2)***3,14
****=**=**,8
****=**(=*)=*,8
*****(=*)***=***,12
*=*1****2:*:*3:*(:*:*:21)****3,15
*=*(=*)****:*:*:*:*,11
*=*1*(=*2**=**=*2)**2:*:*:*:*:*:21,16
*=*1**=**2*=**21,9
*=*1****2*1**1=*2****1,14
******(**)*(*)*,11
*=*1***2*(*1)*1:*:*:*:*:*:1*2=*,15
*(*1:*:*:*:*:*:1)*1:*:*:*:*:*:1,13
*=*1**2***3*2*1*1:*:*:*:*:*:13,15
*=*1**2***3*(**=**3=*)*2*1,15
*=*1**2**3***(*3)**2*1=*,14
**=*(*)****(*)(*)=*,11
****(=*)***(*)*,10
*1**2:*:*3:*:*:*:*:3:*:*:2*=*1,13
**(=*)******(*)(=*)=*,12
*1**2***3****4***(*1)*2*34,16
**(***(*)=*)*(*)(*)*,11
*:*:*:*:*****1*****1,14
*=*1**2:*(:*(=*):*:*3:*:*:*:*:*:2:3)*=*1,16
***=****=**,9
***(=*)*****#*,10
******(*)***,10
*=*1**2*3**4**3**2(*4)*=*1,14
*1*2**3*=**2*2*1**32,11
***=**(*)=*,7
*=*1***(=*)*2*3***(*=*3)*21,14
**(=*)*(**=*)**(*)(*)*,12
*=*1**(=*)*2*1**1***(=*)*12,14
*1**2*3****3*3:*:*:*:*:*:3*2*1,16
*=*1(=*)*=***2(***2)*12**2,13
*=*1:*:*:*:*2:*:1*1***(*1)*2,13
**=*1*****1,8
*=*1***2*1**1:*:*:*:*:*:1**2=*,16
**(*)**(*)(=*)**(*)*,11
*1**2***3*4****4***3*2*1,16
***(=*)***(=*)**(*)*=*,13
*=***=**=*,7
*1**2**=*3*****3*2*1,13
**(*)*****(=*)**(*)(*)*,14
*=*1:*:*:*2:*:*:*:*:*:2:*(=*):*:1,13
*=*1***=***2**1*(=*)*2,13
*=*1**2***2*(=*)***=*1,13
*=*1****2=****=*12,11
*1**2**(*1)*1:*:*3:*:*:*:*:3:*:*:12,15
***(*)(*)***=*,9
*=*1**2**3*****32*1,12
**(*****=*)*(=*)=*,11
**(=*)(=*)*:*:*:*:*,9
**(*)(*)*(=*)*****(=*)**(=*)=*,16
*=***=*1*2**3**(*2)**1*3,14
***(=*)(=*)**(*)*=*,10
*=*1*=***12*=**1:*:*:*:*:*:12,14
*=*1**(=*)*2**3:*:*:*:*:*:3**21,15
*=*1*=**2***3**1*32,11
*1**2:*:*:*(:*:*:2)***2:*:*:*1:*:*:2,16
*.*:*:*:*1:*:*:*:*:*:1:*,11
*1:*:*2:*:*:*:*2:*:1,8
*=*1*=*2***3:*:*:*4:*:*:*:*1:*:4:*:32,16
*=*1:*:*:*2:*(:*:*:1)**1(****1)**2,16
****=*(*)*(*)*,9
*=*1:*:*(:*:*:*):*:*2:*:*:*:*:*:1:2,14
*=*1**2***(=*)*=*2*=*1,12
*=*1***2**1*(=*)*=*2,11
*=*1:*:*2:*(:*:1)*****2,11
*=*1(=*)**2:*:*3:*:*:*:*:3:*:*:2*1,14
****(=*)**(=*)***,11
**(*=*)=**=**=*,9
*1***2**3**3**2*1,11
*=*1****2*=***3***1*32,14
*=**(=*)*1:*:*:*:*:*:1,10
*=*1:*:*:*2:*:*:*:*2:*:1,10
**(=*)(=*)***(*)(=*)=*,10
***=*1***(=*)*1,9
****(=*)**(*)=**(*)*,12
*=*1*=****12**2,9
*=*1****2=*1*(=*)**1*****12,16
*=*1******2**(***1)*2,14
*1****2****2**1,11
*=*1:*:*:*:*2:*:1**1*3***1*2**3,16
***(**(=*)*(*)*(*)*)*(*)=*,14
*1*2*3**4*1*1*=**4*3*=**21,14
*=*1****(=*)***(=*)**1,13
*=*1**2***3(***(=*)*3)*2*1,14
*1**2*=*3:*:*:*4:*:3*2*(=**=4)*1,14
*=*1(=*)*=**=**2:*:*:*:*:*:21,13
*=*1****=*1,7
***(=*)*(****=*(*)*)**=*,15
****(=*)*(**(*)*)**(*)=*,14
*#**=*1**2:*:*:*:*:*:2*1,12
*=*1**2(*****2)**12*****2,16
*=*(=*)*=**#*,7
*=*1****2(****2)*=*1,12
**(=*)(=*)**=*,7
*=*1***23***(***2*1)*3,13
*1************1,13
**(=*)*=**(*)=**=*,10
***(=*)***(=*)=*,9
*1***2:*:*3:*(:*:*:2*1)***=*3,14
*1**2**3*=**=**3=*2*1,12
*=*1****12****2=*,11
*:*:*:*:**1:*:*:*:*2:*:*:*:*:*:1:2,15
*=*1***2:*:*(=*):*3:*:*:*:*:3:*:21,14
*=*1**2***3**3***3**3*2*1,16
*****(**(=*)***(*)=*)*(*)=*,16
*=*1***(=*)*2=*(*1)*(=*)**2,13
**=*********(*)*,13
*1**2***3:*:*:*4:*:*:*:*(:*:3:4)*2*1,16
*=*1****2=*1*1****1*2,13
*1**2**3****3*2*1,11
*=*1****12***1****=*12,14
*=*1***=*2*1*=**2=*,11
*.*******(=*)**,11
*=*1***2:*:*:*:*:*:2*(=*)*1,13
*=*1**2*3**(*=*3)*2*1,11
**(**(*)(*)=*)**(*)(*)=*,12
*=*1*=**2**1*1****21,12
***(*)**(=*)***(*)*,12
*=*1**2*(*=*3*****23)*1=*,14
*=*1***12****2,9
*=*1****12**1*****1*2,14
******(*)(*)*(*)(*)=*,12
*=*1****2***3****3=*2**1,16
*=******=*=*,9
*=*1**(=*)*23**2****3=*1,13
*=*1***2*=**(=*)*3:*:*:*:*1:*:32,15
*1*2=*(**3:*:*:*:*:31)*1:*:*:*:*:*:1*2,16
*=*1*=**(=*)*(=*)*1=*,10
*1**=***2*(*1)***1:*:*:*:*:*:12,16
**(=*)*(***=*)**(*)(=*)=*,13
*=*1:*:*(=*):*2:*(:*:1)=**1(*****1)*=2,16
**(*)************=*,16
***(=*)***(*)(=*)****(*)=*,15
*=*1*****=******(=*)**1,16
*=**1:*:*:*:*:1*1:*:*:*:*:1,12
*****(*)********(*)=*,16
*=**1****2:*:*:*:*:*:21,12
*:*:*:*(:*)**1:*:*:*:*:1,11
*=*1***2=*1*=*****2,12
*=*1**(=*)(=*)*2*3**(*=*3)*21,13
*=*1****2(****(=*)*2)*1,13
*=*1**2***(=*)*(*2)*1,11
*=*1:*:*:*2:*(=*):*:*:*:1:2,10
*=*1:*2:*(:*:1=*)*****2,11
*=*1**2*(**3=*2****3)*1=*,14
***(*(**(*)=*)*(=*)**)*(=*)**,16
*=*1*=***2=*1***1=**=***12,15
*=***=*1******1,11
****(=*)***,8
*=*1**2**2***2***21,12
*=*1**2**3**24****1*4*=*3,15
*=*1:*:*:*:*2:*:*:*3:*(:*:1:2)*****3,16
**=***(=*)****(*)*,12
*=*1**=****2**2**1=*,13
**(*)*****(*)=*,10
**(=*)*(**=*)**(*)(*)*(*)=*,14
******(*)*(=*)**(*)*(*)=*,15
*=*1*2=*(****2)**2:*:*:*:*:*:21,15
*=**(=*)*********(=*)*=*,16
*1**=**2(*1)**2,8
*1***2*3***(*3)*2*1,11
*=*1**2=**3*=****3**2=*1,14
*=*1***2**3:*:*:*:*:*:3*2=*1,14
**(*)*(=*)**(*)(*)*,10
*=*1***2****2*1=*,11
*=*1*2*3****3**2*2:*:*:*:*:*:21,16
*=*1:*:*:*:*2:*:*3:*(:*:*:1:2)***3(=*)=*,16
*1**2:*:*:*:*:*:2**=*1,11
*=*1*******2:*:*:*(:*:2)***1,16
*=*1*=**2=**(=*)(=*)*3:*:*:*:*1:*:32,15
*.**(=*)=*,5
*=*1*****(=*)***=****1,15
*****(=*)******=*,13
*=*1***2=*1***1(***3**1*3)*2,16
*=*1:*:*:*2:*:1***1(*****1)**2,16
*1***2=*(***2)*=**1,11
*1**2*(*1)*1=*2***=**=*1,13
**=*****(*)(*)=*,10
*****(=*)***(*)*,11
**=*1**=**1=*,8
*=*1**2**3(****3)***2=*1,14
*1**2*=***2*2***12,11
*#***#*,5
*1*=**(=*2*=**3:*:*:*:*:*:32)*=*1,15
*1**2*=***2=*1,8
*1**=*2**3***2(*1)*3,11
********(=*)**(=*)***,15
*=*1****2=**(=*)**2*2**2**1,16
*1****2(**1)**=**=*2,12
*=*1**2*#**=**#***(=*1)*2=*,15
*1***2***3*****3*2**1,15
****(=*)*(*)(*)*,9
*1**2:*:*:*3:*:*:*:*:*:3:*:2*=*1,14
*=*1**(=*)*2(****3:*:*:*:*:32)*1,15
*=*1**2:*:*:*:*:2*2=******12,15
*:*.*:*:*,5
*=*1**2**3*4**4**3*(=*)*2=*1,15
***(*)*(*=*)*(*)=*,10
*****(*)(=*)**,9
*=*1**2=*(*1)*(=*)*1:*:*:*:*:*:1*2=*,16
**(=*)*(*)(*)*(*)(*)*(*)(*)*(*)=*,15
*1:*:*2:*:*:*3:*:*:*:*:3:*2:*:1,12
*=*1***2(**1)*(=*)**(=*)**2=*,15
*=*1*2:*:*:*:*:2*=**2:*:*:*:*:21,14
*=*1**2***3**34*(*=**4=*)*2*1,16
*1*2*=**=**2*=**2:*:*:*:*:*:21,15
**(*)**(**=*)*(=*)**(=*)=*,14
**(*)*=*1*(=*)**2:*:*:*:*:*:21,14
***(=*)****(*(*)*)*(*)*,14
*1*=**2*1=**1:*:*:*:*3:*:*:*:*2:*:1:3,16
**(=*)*****(**=*)*=*,13
*=*1**2****3**(=*)*=*3*2*1,15
*=*1(=*)*=*2*=***2*2:*:*:*:*:*:21,15
*1**2**3:*:*:*4:*(:*:3*2*1)****4,16
*=*1**(=*)*2*3***(*=*3)*21,13
*=*1**2*3**3****2=*1,12
*1=**2:*:*:*:*:*:2*2:*:*:*:*:*:2*=*1,16
*=*1**=**(=*)*12***=**2,13
**(=*)*(*)(*)*=*,8
*=*1**2*****2*2=*1****2,15
*=*1*=**2**2**=***2****21,16
***(=*)*(*)(*)**,9
*=*1:*:*:*2:*(=*):*3:*:*:*:*:*:3:*:*:2:*:1,16
*1****#***1,8
**=*(*)****=*(*)***=*(*)*,16
*=*1**2*(***3:*:*:*:*:*:32)*1=*,15
*=*1****2**3*****3**21,15
*=*1*=**23**2*2****2**3=*1,15
*=*1*(=*2*****2)**2:*:*:*:*:*:21,16
**(=*)*(*)(*)=*,7
*=*1*2**=***2*2:*:*:*:*:*:21,14
**(*)****(=*)***=*,12
*=*1**2*3*****3*2*1=*,13
**(=*)*(=*)**(=*)*=*,10
*1**2**(=**=*2)*2*(*1)***1**12,16
*1**2****3:*2:*(:*:*2:*:*:*:*:3:2)*1,16
***(=*)(=*)**(=*)(=*)**,11
*:*:*:*:**1:*:*:*:*:*:1,11
*1*=**2:*:*3:*:*:*:*:*:3:*:2*=*1,14
*=*1**2:*:*:*:*:*:2*=**1=*,13
*1**2**3:*:*:*:*:*:3**2*1,13
*=*1***2***3*4***=**4*231,15
*=*1*2:*:*:*:*:*:2***12*****2,16
*1**2**23***2*=***2*3*1,14
*=*1********=**2****21,16
*.***(=*)*1:*:*:*:*:*:1*,12
****(*)***(*)*,10
*=*1***(=*)*2*3****(***21)*3,16
*=*(:*):*1:*:*:*:*:*:1,9
**(*)(=*)*******(=*)=*,13
